,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
1562,B9 INC,DATA ANALYST,"130,000","SAN FRANCISCO, CA",04/28/2022,10/01/2022
1563,TOYOTA MOTOR CREDIT CORPORATION,DATA ANALYST,"130,000","PLANO, TX",05/26/2022,06/06/2022
1564,TOYOTA MOTOR CREDIT CORPORATION,DATA ANALYST,"130,000","PLANO, TX",05/26/2022,06/06/2022
1565,INNOVACCER INC,DATA ANALYST,"130,000","DALLAS, TX",06/10/2022,10/01/2022
1566,THREDUP INC,DATA ANALYST,"130,000","OAKLAND, CA",03/28/2022,08/31/2022
1567,INCLOUD LLC,DATA ANALYST,"130,416","SAN JOSE, CA",08/17/2022,08/22/2022
1568,IKCON TECHNOLOGIES INC,DATA ANALYST,"130,416","MOUNTAIN VIEW, CA",12/15/2022,12/15/2022
1569,META PLATFORMS INC,DATA ANALYST,"130,680","HILLSBORO, OR",02/24/2022,08/13/2022
1570,META PLATFORMS INC,DATA ANALYST,"131,000","AUSTIN, TX",11/03/2022,11/07/2022
1571,META PLATFORMS INC,DATA ANALYST,"131,000","ADDISON, TX",01/25/2022,03/14/2022
1572,META PLATFORMS INC,DATA ANALYST,"131,000","DALLAS, TX",08/26/2022,08/29/2022
1573,ANALYTICS9 SOLUTIONS INC,DATA ANALYST,"131,000","SUNNYVALE, CA",06/17/2022,10/01/2022
1574,ANALYTICS9 SOLUTIONS INC,DATA ANALYST,"131,000","SUNNYVALE, CA",06/17/2022,10/01/2022
1575,ALPHA NET CONSULTING LLC,DATA ANALYST,"131,000","FREMONT, CA",06/17/2022,06/27/2022
1576,ONWARD TECHNOLOGIES INC,DATA ANALYST,"131,747","PEORIA, IL",07/08/2022,08/01/2022
1577,APPLE INC,DATA ANALYST,"133,000","AUSTIN, TX",12/07/2022,05/04/2023
1578,MICROSOFT CORPORATION,DATA ANALYST,"133,000","REDWOOD CITY, CA",04/27/2022,05/03/2022
1579,GENERAL MOTORS COMPANY,DATA ANALYST,"134,645","WARREN, MI",04/04/2022,08/23/2022
1580,LYFT INC,DATA ANALYST,"135,000","SAN FRANCISCO, CA",04/13/2022,05/16/2022
1581,SONY INTERACTIVE ENTERTAINMENT LLC,DATA ANALYST,"135,000","SAN MATEO, CA",03/04/2022,03/14/2022
1582,MENLO SECURITY INC,DATA ANALYST,"136,500","MOUNTAIN VIEW, CA",05/02/2022,10/01/2022
1583,META PLATFORMS INC,DATA ANALYST,"136,619","AUSTIN, TX",10/06/2022,04/04/2023
1584,CANVA US INC,DATA ANALYST,"137,000","AUSTIN, TX",05/31/2022,07/05/2022
1585,META PLATFORMS INC,DATA ANALYST,"139,065","AUSTIN, TX",11/03/2022,05/01/2023
1586,LYFT INC,DATA ANALYST,"139,424","SAN FRANCISCO, CA",05/02/2022,10/01/2022
1587,GOVYRL INC,DATA ANALYST,"139,818","IRVING, TX",03/18/2022,04/12/2022
1588,FOHR CARD INC,DATA ANALYST,"140,000","NEW YORK, NY",10/19/2022,10/24/2022
1589,MUNICH REINSURANCE AMERICA INC,DATA ANALYST,"140,000","NEW YORK, NY",10/27/2022,11/14/2022
1590,MICROSOFT CORPORATION,DATA ANALYST,"140,000","BELLEVUE, WA",03/17/2022,03/23/2022
1591,META PLATFORMS INC,DATA ANALYST,"140,000","PITTSBURGH, PA",03/03/2022,03/21/2022
1592,XSENSEAI INC,DATA ANALYST,"140,000","SAN DIEGO, CA",05/10/2022,10/01/2022
1593,XSENSEAI INC,DATA ANALYST,"140,000","SAN DIEGO, CA",05/10/2022,10/01/2022
1594,XSENSEAI INC,DATA ANALYST,"140,000","SAN DIEGO, CA",05/10/2022,10/01/2022
1595,DGN TECHNOLOGIES INC,DATA ANALYST,"141,086","CUPERTINO, CA",07/26/2022,08/15/2022
1596,IKCON TECHNOLOGIES INC,DATA ANALYST,"141,378","MOUNTAIN VIEW, CA",12/15/2022,12/15/2022
