,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
101,POPULUS GROUP LLC,DATA ANALYST,"80,000","ATLANTA, GA",10/12/2022,10/24/2022
102,PARTNERS INFORMATION TECHNOLOGY INC,DATA ANALYST,"80,000","PLANO, TX",04/12/2022,10/01/2022
103,BGI GROUP INC,DATA ANALYST,"80,000","PEACHTREE CORNERS, GA",04/19/2022,10/01/2022
104,PINNACLE TECHNICAL RESOURCES INC,DATA ANALYST,"80,000","RICHMOND, VA",04/28/2022,10/01/2022
105,SALESFORCE INC,DATA ANALYST,"80,000","SANTA CLARA, CA",05/04/2022,10/01/2022
106,IRONHACK US LLC,DATA ANALYST,"81,280","MIAMI, FL",07/27/2022,08/03/2022
107,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"81,520","WINDSOR, CT",06/20/2022,10/01/2022
108,FLEXON TECHNOLOGIES INC,DATA ANALYST,"81,600","SAN DIEGO, CA",04/08/2022,10/01/2022
109,BEACON HILL STAFFING GROUP LLC,DATA ANALYST,"82,000","FRISCO, TX",11/22/2022,12/05/2022
110,FUTURIS TECHNOLOGY SERVICES INC,DATA ANALYST,"82,020","PLANO, TX",05/12/2022,10/01/2022
111,FUTURIS TECHNOLOGY SERVICES INC,DATA ANALYST,"82,020","PLANO, TX",05/25/2022,10/01/2022
112,AVVENTIS INC,DATA ANALYST,"82,180","BUFFALO, NY",08/08/2022,08/08/2022
113,AVVENTIS TECH INC,DATA ANALYST,"82,180","BUFFALO, NY",08/09/2022,08/09/2022
114,AVVENTIS TECH INC,DATA ANALYST,"82,180","BUFFALO, NY",08/08/2022,08/08/2022
115,FIRST CHOICE COMMUNITY HEALTHCARE INC,DATA ANALYST,"82,400","ALBUQUERQUE, NM",05/26/2022,11/05/2022
116,EXPERIS US LLC,DATA ANALYST,"82,720","WAUKEE, IA",12/09/2022,01/09/2023
117,EXPERIS US LLC,DATA ANALYST,"82,720","WAUKEE, IA",11/28/2022,12/12/2022
118,NEUMERIC TECHNOLOGIES CORPORATION,DATA ANALYST,"83,000","CANTON, MI",08/09/2022,01/01/2023
119,NEUMERIC TECHNOLOGIES CORPORATION,DATA ANALYST,"83,000","CANTON, MI",08/22/2022,01/01/2023
120,INTELLECTT INC,DATA ANALYST,"83,200","BRIDGEPORT, CT",07/22/2022,08/01/2022
121,RICEFW TECHNOLOGIES INC,DATA ANALYST,"83,200","MOUNT PROSPECT, IL",04/12/2022,04/19/2022
122,RICEFW TECHNOLOGIES INC,DATA ANALYST,"83,200","MT PROSPECT, IL",01/21/2022,02/21/2022
123,POPULUS GROUP LLC,DATA ANALYST,"84,000","LEXINGTON, MA",04/01/2022,10/01/2022
124,VASTIKA INC,DATA ANALYST,"84,000","LAWRENCEVILLE, GA",04/04/2022,10/01/2022
125,COLLABERA INC,DATA ANALYST,"84,000","RICHMOND, VA",04/27/2022,10/01/2022
126,FLEXON TECHNOLOGIES INC,DATA ANALYST,"85,680","SAN DIEGO, CA",05/25/2022,10/01/2022
127,POPULUS GROUP LLC,DATA ANALYST,"86,000","LEXINGTON, MA",04/01/2022,10/01/2022
128,POPULUS GROUP LLC,DATA ANALYST,"86,000","LEXINGTON, MA",04/01/2022,10/01/2022
129,MUHAO USA INC,DATA ANALYST,"86,000","NEW YORK, NY",01/12/2022,04/01/2022
130,IVY LEAGUE UNITAS USA INC,DATA ANALYST,"86,000","NEW YORK, NY",09/20/2022,12/02/2022
131,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"86,200","SARATOGA, CA",04/20/2022,10/01/2022
132,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"86,200","SARATOGA, CA",04/27/2022,10/01/2022
133,ADMISSIAN LLC,DATA ANALYST,"86,920","COLUMBUS, OH",05/01/2022,05/01/2022
134,AURUM CAPITAL MANAGEMENT CORP,DATA ANALYST,"87,000","SAN JOSE, CA",09/13/2022,10/06/2022
135,LGL TECHNOLOGIES LLC,DATA ANALYST,"88,540","EAGLEVILLE, PA",05/03/2022,05/13/2022
136,TEKNXPERT LLC,DATA ANALYST,"89,000","NEW YORK, NY",05/14/2022,10/01/2022
137,CHINESE COMMUNITY HEALTH CARE ASSOCIATION,DATA ANALYST,"90,000","HOLLYWOOD, FL",03/28/2022,04/04/2022
138,TECHGROUP AMERICA INC,DATA ANALYST,"90,000","CARMEL, IN",02/02/2022,02/14/2022
139,SIMARN LLC,DATA ANALYST,"90,000","ARLINGTON, TX",09/27/2022,10/03/2022
140,COLLABERA INC,DATA ANALYST,"90,000","RICHMOND, VA",05/03/2022,10/01/2022
141,SCOPUS IT INC,DATA ANALYST,"90,000","NEW YORK, NY",05/11/2022,10/01/2022
142,INTEGRATED RESOURCES INC,DATA ANALYST,"90,120","SOUTH SAN FRANCISCO, CA",04/08/2022,10/01/2022
143,INTEGRATED RESOURCES INC,DATA ANALYST,"90,120","SOUTH SAN FRANCISCO, CA",04/15/2022,10/01/2022
144,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"90,420","SAN ANTONIO, TX",04/21/2022,10/01/2022
145,UPGRADE INC,DATA ANALYST,"91,580","PHOENIX, AZ",03/11/2022,03/21/2022
146,VADILAL INDUSTRIES(USA) INC,DATA ANALYST,"93,000","BRISTOL, PA",11/04/2022,11/05/2022
147,PSI SERVICES LLC,DATA ANALYST,"93,040","HARRISON, NJ",09/22/2022,09/26/2022
148,PSI SERVICES LLC,DATA ANALYST,"93,040","HARRISON, NJ",09/22/2022,09/26/2022
149,INTUITES LLC,DATA ANALYST,"93,840","MONTVALE, NJ",01/28/2022,01/28/2022
150,INTUITES LLC,DATA ANALYST,"93,840","MONTVALE, NJ",01/28/2022,01/28/2022
151,HCL GLOBAL SYSTEMS INC,DATA ANALYST,"93,840","PLANO, TX",06/17/2022,06/17/2022
152,WIMMER SOLUTIONS CORPORATION,DATA ANALYST,"94,000","REDMOND, WA",09/22/2022,10/01/2022
153,SYSTEM SOFT TECHNOLOGIES LLC,DATA ANALYST,"94,000","DES MOINES, IA",08/29/2022,09/12/2022
154,DIGITAL INTELLIGENCE SYSTEMS LLC,DATA ANALYST,"94,000","RAYNHAM, MA",06/16/2022,10/01/2022
155,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"94,640","TOWSON, MD",05/24/2022,10/01/2022
156,VIDLEXINFO LLC,DATA ANALYST,"94,760","ALDIE, VA",06/16/2022,10/01/2022
157,MOYI INC,DATA ANALYST,"95,060","NEW YORK, NY",12/01/2022,12/15/2022
158,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"95,280","SAN BRUNO, CA",04/18/2022,10/01/2022
159,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"95,280","SAN BRUNO, CA",04/26/2022,10/01/2022
160,KWENSY200 INC,DATA ANALYST,"96,000","MALVERN, PA",09/14/2022,10/01/2022
161,KWENSY200 INC,DATA ANALYST,"96,000","REISTERSTOWN, MD",05/02/2022,10/01/2022
162,NEUMERIC TECHNOLOGIES CORPORATION,DATA ANALYST,"96,000","LEWIS CENTER, TX",05/03/2022,05/16/2022
163,KWENSY200 INC,DATA ANALYST,"96,000","REISTERSTOWN, MD",05/05/2022,10/01/2022
164,SEVEN STARS SERVICES LLC,DATA ANALYST,"96,000","DALLAS, TX",05/24/2022,10/01/2022
165,SEVEN STARS SERVICES LLC,DATA ANALYST,"96,000","DALLAS, TX",05/27/2022,10/01/2022
166,SEVEN STARS SERVICES LLC,DATA ANALYST,"96,000","DALLAS, TX",06/17/2022,10/01/2022
167,EPITEC INC,DATA ANALYST,"96,400","AUBURN HILLS, MI",02/24/2022,03/07/2022
168,EPITEC INC,DATA ANALYST,"96,400","AUBURN HILLS, MI",02/24/2022,03/07/2022
169,EALEARN INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/19/2022,10/01/2022
170,EALEARN INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/19/2022,10/01/2022
171,EALEARN INC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
172,EALEARN INC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
173,EALEARN INC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
174,EALEARN INC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
175,EALEARN INC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
176,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/20/2022,10/01/2022
177,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/20/2022,10/01/2022
178,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/20/2022,10/01/2022
179,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
180,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
181,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/20/2022,10/01/2022
182,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
183,XENONINFOTEK INC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
184,XENONINFOTEK INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/20/2022,10/01/2022
185,XENONINFOTEK INC,DATA ANALYST,"97,840","EDISON, NJ",06/20/2022,10/01/2022
186,I BRAIN SOLUTIONS LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/20/2022,10/01/2022
187,I BRAIN SOLUTIONS LLC,DATA ANALYST,"97,840","EDISON, NJ",06/21/2022,10/01/2022
188,I BRAIN SOLUTIONS LLC,DATA ANALYST,"97,840","PISCATAWAY, NJ",06/21/2022,10/01/2022
189,IP HEIGHTS LLC,DATA ANALYST,"97,840","EDISON, NJ",06/21/2022,10/01/2022
190,IP HEIGHTS LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
191,IP HEIGHTS LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
192,IP HEIGHTS LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
193,IP HEIGHTS LLC,DATA ANALYST,"97,840","EDISON, NJ",06/21/2022,10/01/2022
194,ECONTENTI INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
195,ECONTENTI INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
196,ECONTENTI INC,DATA ANALYST,"97,840","EDISON, NJ",06/21/2022,10/01/2022
197,XENONINFOTEK INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
198,ECONTENTI INC,DATA ANALYST,"97,840","EDISON, NJ",06/21/2022,10/01/2022
199,ECONTENTI INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
200,ECONTENTI INC,DATA ANALYST,"97,840","EDISON, NJ",06/21/2022,10/01/2022
201,ECONTENTI INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
202,ECONTENTI INC,DATA ANALYST,"97,840","EDISON, NJ",06/21/2022,10/01/2022
203,ECONTENTI INC,DATA ANALYST,"97,840","EDISON, NJ",06/21/2022,10/01/2022
204,EALEARN INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/21/2022,10/01/2022
205,EALEARN INC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/22/2022,10/01/2022
206,EALEARN INC,DATA ANALYST,"97,840","EDISON, NJ",06/22/2022,10/01/2022
207,EALEARN INC,DATA ANALYST,"97,840","EDISON, NJ",06/22/2022,10/01/2022
208,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/22/2022,10/01/2022
209,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","EDISON, NJ",06/22/2022,10/01/2022
210,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/22/2022,10/01/2022
211,SOFTWARE ENTERPRISE LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/22/2022,10/01/2022
212,I BRAIN SOLUTIONS LLC,DATA ANALYST,"97,840","ENGLEWOOD CLIFFS, NJ",06/23/2022,10/01/2022
213,ICONMA LLC,DATA ANALYST,"98,180","RICHMOND, VA",03/09/2022,03/09/2022
214,ICLOUD SOLUTIONS INC,DATA ANALYST,"98,180","BALTIMORE, MD",06/02/2022,10/01/2022
215,POPULUS GROUP LLC,DATA ANALYST,"98,180","WASHINGTON D.C, DC",06/09/2022,10/01/2022
216,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"99,960","MILPITAS, CA",07/20/2022,09/17/2022
217,CALIFORNIA CREATIVE SOLUTIONS INC,DATA ANALYST,"99,960","MILPITAS, CA",07/20/2022,09/15/2022
218,ITLIZE GLOBAL LLC,DATA ANALYST,"99,960","WOONSOCKET, RI",10/03/2022,10/17/2022
219,DRIL-QUIP INC,DATA ANALYST,"100,000","HOUSTON, TX",07/21/2022,07/21/2022
220,ADVANTIS GLOBAL INC,DATA ANALYST,"100,000","BIRMINGHAM, AL",04/05/2022,10/01/2022
221,ADVANTIS GLOBAL INC,DATA ANALYST,"100,000","BIRMINGHAM, AL",04/11/2022,10/01/2022
222,CONNECTEDX INC,DATA ANALYST,"100,000","PLANO, TX",09/02/2022,10/01/2022
223,YOH A DAY & ZIMMERMANN COMPANY,DATA ANALYST,"100,000","MOUNTAIN VIEW, CA",04/21/2022,10/01/2022
224,COLLABERA INC,DATA ANALYST,"100,000","RICHMOND, VA",05/17/2022,10/01/2022
225,1 POINT SYSTEM LLC,DATA ANALYST,"100,000","MERIDIAN, ID",06/21/2022,10/01/2022
226,AKSHAYA INC,DATA ANALYST,"102,000","TEMPE, AZ",04/11/2022,04/11/2022
227,POPULUS GROUP LLC,DATA ANALYST,"102,160","LEXINGTON, MA",06/15/2022,10/01/2022
228,VIGNA INC,DATA ANALYST,"104,000","SAN DIEGO, CA",07/19/2022,08/01/2022
229,DIGITAL INTELLIGENCE SYSTEMS LLC,DATA ANALYST,"104,000","DETROIT, MI",06/08/2022,10/01/2022
230,CRYSTAL EQUATION CORPORATION,DATA ANALYST,"106,000","FREMONT, CA",05/12/2022,10/01/2022
231,POPULUS GROUP LLC,DATA ANALYST,"110,000","CEDAR RAPIDS, IA",06/28/2022,07/18/2022
232,ASTA CRS INC,DATA ANALYST,"110,800","IRVING, TX",09/28/2022,10/01/2022
233,EPITEC INC,DATA ANALYST,"113,240","FREMONT, CA",06/27/2022,07/11/2022
234,POPULUS GROUP LLC,DATA ANALYST,"113,520","MCKINNEY, TX",04/27/2022,07/13/2022
235,BLIZZARD ENTERTAINMENT INC,DATA ANALYST,"115,380","IRVINE, CA",04/28/2022,05/09/2022
236,TEKSYSTEMS GLOBAL SERVICES LLC,DATA ANALYST,"116,000","REDMOND, WA",07/28/2022,08/11/2022
237,PRECISION TECHNOLOGIES CORP,DATA ANALYST,"116,000","BOSTON, MA",03/31/2022,09/28/2022
238,POPULUS GROUP LLC,DATA ANALYST,"120,000","CEDAR RAPIDS, IA",06/30/2022,07/18/2022
239,TEKSERVS CONS LTD CO,DATA ANALYST,"120,000","PLANO, TX",07/18/2022,07/25/2022
240,LRS PROGRAM DELIVERY INC,DATA ANALYST,"120,000","GARDENA, CA",08/31/2022,09/09/2022
241,EXPERIS US LLC,DATA ANALYST,"123,080","BROOKLYN, NY",10/18/2022,11/07/2022
242,ACROSS BORDERS MANAGEMENT CONSULTING GROUP LLC,DATA ANALYST,"125,880","ALPHARETTA, GA",08/24/2022,09/05/2022
243,NEXT GEN SOFTWARE SOLUTIONS LLC,DATA ANALYST,"135,940","SAN JOSE, CA",07/06/2022,07/12/2022
244,FLEXION INC,DATA ANALYST,"136,000","SOUTH GRAFTON, MA",05/24/2022,06/20/2022
245,EPITEC INC,DATA ANALYST,"140,000","FARMERS BRANCH, TX",04/26/2022,10/01/2022
246,SCOPUS IT INC,DATA ANALYST,"140,000","SAM BRUNO, CA",05/11/2022,10/01/2022
247,POPULUS GROUP LLC,DATA ANALYST,"150,000","SAN MATEO, CA",12/07/2022,12/21/2022
248,FLEXION INC,DATA ANALYST,"150,000","RICHMOND, TX",04/07/2022,05/09/2022
249,PRECISION TECHNOLOGIES CORP,DATA ANALYST,"200,000","JERSEY CITY, NJ",04/25/2022,04/25/2022
250,VELOX CLEARING LLC,DATA ANALYST,"5,000","ANAHEIM, CA",01/19/2022,01/26/2022
251,TEXAS DEPARTMENT OF INSURANCE,DATA ANALYST,"7,000","AUSTIN, TX",08/31/2022,09/01/2022
252,GLOBRIDGE GROUP CORPORATION,DATA ANALYST,"29,786","TUSTIN, CA",05/06/2022,10/01/2022
253,SUFOO LIFE INC,DATA ANALYST,"40,560","UNION CITY, CA",06/20/2022,10/01/2022
254,SYNERGY APPLIANCES LLC,DATA ANALYST,"41,766","WYOMING, MI",03/02/2022,08/29/2022
255,KANSAS STATE UNIVERSITY,DATA ANALYST,"45,427","MANHATTAN, KS",04/12/2022,06/01/2022
256,MEDKON INTERNATIONAL LLC,DATA ANALYST,"46,000","FLUSHING, NY",04/12/2022,10/01/2022
257,BAANYAN SOFTWARE SERVICES INC,DATA ANALYST,"46,000","EDISON, NJ",06/17/2022,10/01/2022
258,MJH HEALTHCARE HOLDINGS LLC,DATA ANALYST,"46,197","LAWRENCE TOWNSHIP, NJ",01/10/2022,01/20/2022
259,FIRST CHOICE SEAFOOD INC,DATA ANALYST,"47,798","INDIANAPOLIS, IN",04/22/2022,10/01/2022
260,CWZY40 LLC,DATA ANALYST,"48,000","NEWARK, DE",05/12/2022,10/01/2022
261,PCONLINE LLC,DATA ANALYST,"48,000","NEWARK, DE",06/03/2022,10/01/2022
262,COTIVITI INC,DATA ANALYST,"48,838","WALTHAM, MA",03/07/2022,08/25/2022
263,COTIVITI INC,DATA ANALYST,"48,838","WALTHAM, MA",03/16/2022,08/25/2022
264,ZHONGDING USA CADILLAC INC,DATA ANALYST,"49,608","CADILLAC, MI",04/12/2022,10/01/2022
265,RAGNAR RESEARCH PARTNERS LLC,DATA ANALYST,"49,650","EDMOND, OK",04/23/2022,10/01/2022
266,MAVEN COMPANIES INC,DATA ANALYST,"50,000","YPSILANTI, MI",06/03/2022,10/01/2022
267,INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS,DATA ANALYST,"50,490","INDIANAPOLIS, IN",08/30/2022,09/06/2022
268,HISENSE USA CORPORATION,DATA ANALYST,"52,000","SUWANEE, GA",05/02/2022,10/01/2022
269,COTIVITI INC,DATA ANALYST,"52,146","RICHMOND, TX",04/22/2022,10/01/2022
270,IFIT INC,DATA ANALYST,"52,500","LOGAN, UT",04/18/2022,10/01/2022
271,IFIT INC,DATA ANALYST,"52,500","LOGAN, UT",04/28/2022,10/01/2022
272,FTV EMPLOYMENT SERVICES LLC,DATA ANALYST,"53,726","ATLANTA, GA",05/18/2022,10/01/2022
273,ELEMENT BOX INC,DATA ANALYST,"53,789","MISSOURI CITY, TX",04/27/2022,10/01/2022
274,COMMUNITY COLLEGE OF AURORA,DATA ANALYST,"54,000","DENVER, CO",04/06/2022,08/07/2022
275,TAPSTONE PARTNERS LLC,DATA ANALYST,"55,000","MISSION VIEJO, CA",04/05/2022,10/01/2022
276,CEDAR RECOVERY OF MIDDLE TENNESSEE LLC,DATA ANALYST,"55,000","MOUNT JULIET, TN",04/15/2022,04/25/2022
277,MARKIT NORTH AMERICA INC,DATA ANALYST,"55,000","NEW YORK, NY",02/22/2022,08/17/2022
278,CROWLEY WEBB & ASSOCIATES INC,DATA ANALYST,"55,000","BUFFALO, NY",05/19/2022,10/01/2022
279,IOWA STATE UNIVERSITY FOUNDATION,DATA ANALYST,"55,020","AMES, IA",01/18/2022,07/11/2022
280,IOWA STATE UNIVERSITY FOUNDATION,DATA ANALYST,"55,020","AMES, IA",05/05/2022,07/11/2022
281,MOXIE IT SOLUTIONS,DATA ANALYST,"55,400","BISMARCK, ND",10/10/2022,10/12/2022
282,MOXIE IT SOLUTIONS,DATA ANALYST,"55,400","BISMARCK, ND",10/10/2022,10/12/2022
283,CALIFORNIA CAPITAL INSURANCE COMPANY,DATA ANALYST,"55,702","RENO, NV",04/19/2022,10/01/2022
284,LVEB LOGISTICS LLC,DATA ANALYST,"55,869","CARROLLTON, TX",05/13/2022,10/01/2022
285,OKLAHOMA STATE UNIVERSITY,DATA ANALYST,"55,890","STILLWATER, OK",11/29/2022,01/06/2023
286,PLASMAN SC INC,DATA ANALYST,"56,000","GREER, SC",01/18/2022,02/11/2022
287,CHINA EDUCATION NETWORK INC,DATA ANALYST,"56,000","DALLAS, TX",01/26/2022,02/02/2022
288,LOGISOFT TECHNOLOGY AND LOGISTICS LLC,DATA ANALYST,"56,000","BATON  ROUGE, LA",04/26/2022,10/01/2022
289,MAXDECISIONS LLC,DATA ANALYST,"56,000","RICHARDSON, TX",05/11/2022,10/01/2022
290,MAXDECISIONS LLC,DATA ANALYST,"56,000","RICHARDSON, TX",05/11/2022,10/01/2022
291,ROBOTIC PROCESS AUTOMATION LLC,DATA ANALYST,"56,014","JEFFERSON, WI",04/21/2022,10/01/2022
292,THE UNIVERSITY OF MISSISSIPPI,DATA ANALYST,"56,500","UNIVERSITY, MS",08/11/2022,08/15/2022
293,ADAH ENTERPRISES INC,DATA ANALYST,"56,514","BIRMINGHAM, AL",01/19/2022,02/01/2022
294,AXA ASSISTANCE USA INC,DATA ANALYST,"56,618","CHICAGO, IL",03/03/2022,08/25/2022
295,WEB DESIGN AND CONSULTING SERVICES INC,DATA ANALYST,"56,618","WOODLAND HILLS, CA",05/04/2022,10/01/2022
296,UNIVERSITY OF NEVADA RENO,DATA ANALYST,"56,794","RENO, NV",11/17/2022,12/01/2022
297,VARUNAVI IT CONSULTANTS INC,DATA ANALYST,"56,826","MERIDIAN, ID",06/14/2022,10/01/2022
298,UNIVERSITY OF PITTSBURGH,DATA ANALYST,"56,861","PITTSBURGH, PA",03/23/2022,09/13/2022
299,QWEST CORPORATION,DATA ANALYST,"57,000","PLANO, TX",04/13/2022,10/01/2022
300,UNIVERSITY OF PITTSBURGH,DATA ANALYST,"57,782","PITTSBURGH, PA",08/15/2022,11/01/2022
301,GRAND VALLEY STATE UNIVERSITY,DATA ANALYST,"58,000","GRAND RAPIDS, MI",02/09/2022,07/11/2022
302,THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,DATA ANALYST,"58,064","BIRMINGHAM, AL",12/19/2022,01/09/2023
303,THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,DATA ANALYST,"58,064","BIRMINGHAM, AL",11/28/2022,01/09/2023
304,FTV EMPLOYMENT SERVICES LLC,DATA ANALYST,"58,094","EVERETT, WA",05/26/2022,10/01/2022
305,HEALTH CARE GROUP MANAGEMENT INC,DATA ANALYST,"58,178","RICHARDSON, TX",04/13/2022,10/01/2022
306,PRIMEWEST RURAL MINNESOTA HEALTH CARE ACCESS INITIATIVE,DATA ANALYST,"58,178","ALEXANDRIA, MN",04/19/2022,10/01/2022
307,CLOUD HYBRID TECHNOLOGIES LLC,DATA ANALYST,"58,178","FRISCO, TX",02/08/2022,02/15/2022
308,101 SMOKE SHOP 3 LLC,DATA ANALYST,"58,240","GAINESVILLE, FL",05/18/2022,10/01/2022
309,101 SMOKE SHOP 3 LLC,DATA ANALYST,"58,240","GAINESVILLE, FL",06/16/2022,10/01/2022
310,SAINT LOUIS UNIVERSITY,DATA ANALYST,"58,262","SAINT LOUIS, MO",08/18/2022,09/04/2022
311,AUTOMATION TECHNOLOGIES LLC,DATA ANALYST,"58,926","AUSTIN, TX",06/13/2022,10/01/2022
312,MICHIGAN PUBLIC HEALTH INSTITUTE,DATA ANALYST,"60,000","LANSING, MI",03/14/2022,09/11/2022
313,DATAFORMIX TECHNOLOGIESINC,DATA ANALYST,"60,000","PLAINSBORO, NJ",04/11/2022,10/01/2022
314,SUPERLOGIX INC,DATA ANALYST,"60,000","PLAINSBORO, NJ",04/14/2022,10/01/2022
315,TOKIO MARINE HIGHLAND INSURANCE SERVICES,DATA ANALYST,"60,000","MIAMI, FL",04/15/2022,10/01/2022
316,DVSUM LLC,DATA ANALYST,"60,000","FORT MILL, SC",04/18/2022,10/01/2022
317,MAXDECISIONS LLC,DATA ANALYST,"60,000","RICHARDSON, TX",04/19/2022,10/01/2022
318,CAO GROUP INC,DATA ANALYST,"60,000","WEST JORDAN, UT",02/09/2022,08/08/2022
319,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"60,000","NEW YORK, NY",09/09/2022,11/01/2022
320,APEX TECHNOLOGY GROUP INC,DATA ANALYST,"60,000","EDISON, NJ",09/14/2022,10/01/2022
321,VIZENS CORP,DATA ANALYST,"60,000","MINNEAPOLIS, MN",04/22/2022,10/01/2022
322,HYDROBREEZE LLC,DATA ANALYST,"60,000","BROOKSHIRE, TX",04/26/2022,10/01/2022
323,ITERATIVE SCOPES INC,DATA ANALYST,"60,000","CAMBRIDGE, MA",04/26/2022,10/01/2022
324,HOUSE PARTY INC,DATA ANALYST,"60,000","PLEASANTVILLE, NY",05/02/2022,10/01/2022
325,DREAMDATA SOLUTIONS INC,DATA ANALYST,"60,000","PLANO, TX",05/02/2022,10/01/2022
326,BRANDMOVERS INC,DATA ANALYST,"60,000","ATLANTA, GA",05/05/2022,10/01/2022
327,BRANDMOVERS INC,DATA ANALYST,"60,000","ATLANTA, GA",05/09/2022,10/01/2022
328,NATIONAL HEALTHCARE SOLUTIONS INC,DATA ANALYST,"60,000","DALLAS, TX",05/11/2022,10/01/2022
329,BYTE LINK SYSTEMS INC,DATA ANALYST,"60,000","HOUSTON, TX",05/19/2022,10/01/2022
330,COSMOS IT SOLUTIONS,DATA ANALYST,"60,000","TOPEKA, KS",06/12/2022,10/01/2022
331,TECHPRONET GLOBAL SOLUTIONS INC,DATA ANALYST,"60,000","OVERLANDPARK, KS",06/14/2022,10/01/2022
332,AVTECH TECHNOLOGY INC,DATA ANALYST,"60,000","SOUTH PLAINFIELD, NJ",06/14/2022,10/01/2022
333,V-SOFT CONSULTING GROUP INC,DATA ANALYST,"60,000","HENDERSONVILLE, TN",06/15/2022,06/16/2022
334,SVK TECHNOLOGY SOLUTIONS INC,DATA ANALYST,"60,000","SOUTH PLAINFIELD, NJ",06/18/2022,10/01/2022
335,SVK TECHNOLOGY SOLUTIONS INC,DATA ANALYST,"60,000","SOUTH PLAINFIELD, NJ",06/18/2022,10/01/2022
336,SVK TECHNOLOGY SOLUTIONS INC,DATA ANALYST,"60,000","SOUTH PLAINFIELD, NJ",06/18/2022,10/01/2022
337,GNRSYSTEMS INC,DATA ANALYST,"60,000","BLOOMINGTON, IL",06/22/2022,10/01/2022
338,NEPHOS TECHNOLOGIES,DATA ANALYST,"60,000","SPRINGFIELD, MO",06/22/2022,10/01/2022
339,GNRSYSTEMS INC,DATA ANALYST,"60,000","BLOOMINGTON, IL",06/22/2022,10/01/2022
340,APEX TECHNOLOGY GROUP INC,DATA ANALYST,"60,100","EDISON, NJ",06/10/2022,10/01/2022
